Sample,Accuracy,Kernel,C,Gamma
S1,1.0,rbf,85.98199027023607,0.03698397861165568
S2,1.0,linear,68.74656118301566,0.18670434352797768
S3,0.9814814814814815,linear,15.105570081276927,0.5560199220004927
S4,0.9814814814814815,linear,79.38373923140962,0.10829524275317778
S5,0.9814814814814815,linear,88.05217957736986,0.52769019282981
S6,0.9814814814814815,rbf,1.4083237119536562,0.100762888564304
S7,1.0,poly,44.40622750708606,0.8934007052996051
S8,1.0,rbf,74.19074195071667,0.18631174010422985
S9,0.9814814814814815,rbf,44.89434732517215,0.0021773593012636705
S10,1.0,poly,19.662932223649598,0.043764810244551866
